FUNNEL NAME,LEAD MAGNET NAME,LEAD MAGNET OPT IN URL,HEADLINE,SUB-HEADLINE,RESOURCE CONTENT,RESOURCE ACTUAL URL
"AI CONTENT GENERATOR
",Free LinkedIn Content System,"https://go.modernagencysales.com/ai-content-generator
",How to Turn Sales Calls Into High-Leverage LinkedIn Content,"Get a walkthrough of the exact system I use to turn recorded calls into consistent, high-quality posts—without creating content from scratch.","Here’s your copy of  AI Content Generator — get a full walkthrough of the exact system I use to turn my call recordings into top-quality posts.

👉 Watch How it Works: https://storage.googleapis.com/msgsndr/TBBJ77dxW4J2L27gMKFu/media/67992a8a2ee4852fecc0c7fc.mp4

👉 Download the Prompt: https://docs.google.com/document/d/1geVUJlUTwKq4ki8hXUkEBBqbRmyoLzkT7bfNrhlj0Ho

","https://storage.googleapis.com/msgsndr/TBBJ77dxW4J2L27gMKFu/media/67992a8a2ee4852fecc0c7fc.mp4

https://docs.google.com/document/d/1geVUJlUTwKq4ki8hXUkEBBqbRmyoLzkT7bfNrhlj0Ho"
"LINKEDIN DM WRITING GPT
",GPT-Powered LinkedIn DM System,"https://go.modernagencysales.com/linkedin-dm-writing-gpt
",Turn LinkedIn Messages Into Revenue,Use the exact GPT workflow I leveraged to generate $5M in revenue and sell my agency—turn prompts into high-converting DMs without wasting time on guesswork.,"Here’s your copy of {{contact.lm_source}} — get a full walkthrough of the exact system I use to turn my DM's recordings into sales calls.

👇🏻 Get Access Here

https://go.modernagencysales.com/dmgpt-thanks",https://go.modernagencysales.com/dmgpt-thanks
"7-Figure Lead Magnet Method
",(BONUS) The $1M+ Lead Magnet Swipefile,"https://go.modernagencysales.com/7figure-lead-magnet-method
","the playbook behind 18,731 leads and a 7-figure exit","(HERE's the full 8-chapter Playbook I Used To Close Over $5,000,000 In Revenue From LinkedIn)","Here’s your copy of my 7 Figure Lead Magnet Method - get a full walkthrough of the exact system I use to collect thousands of leads through LinkedIn on autopilot.

👉 Get Access Here 

https://meadow-leader-47c.notion.site/The-7-Figure-Lead-Magnet-Method-28581f7dc52780518d95caa8d8a70e0a",https://meadow-leader-47c.notion.site/The-7-Figure-Lead-Magnet-Method-28581f7dc52780518d95caa8d8a70e0a
Gemini 3: Agency Sales System,(BONUS) Gemini 3: Agency Sales System,"https://go.modernagencysales.com/agency-sales-system
","Gemini 3: Agency Sales System
(5M Dollar Swipefile)","From prompt libraries to implementation roadmaps, it eliminates time-sinks in lead gen. Built for niche agencies seeking leverage and predictability.","Here’s your copy of my Gemini 3: Agency Sales System - get a full walkthrough of the exact system I use to collect thousands of leads through LinkedIn on autopilot.

👉 Get Access Here: https://app.getcreator.io/ResourceLibraryPage?id=695c1c7cbfd0842c2b9349fa
",https://app.getcreator.io/ResourceLibraryPage?id=695c1c7cbfd0842c2b9349fa
The 60-Day LinkedIn Inbound System: 15-Minute Daily SOPs,The 60-Day LinkedIn Inbound System: 15-Minute Daily SOPs,https://go.modernagencysales.com/60day-system,The 60-Day LinkedIn System That Doubled Alexandre’s Agency Revenue,"This tactical guide gives busy agency owners a simple 60-day plan with tiny daily actions to own predictable LinkedIn leads. No ghostwriters or hours wasted, just a boring system that generated millions for Tim and now works without constant founder involvement.","Here’s your copy of my The 60-Day LinkedIn Inbound System: 15-Minute Daily SOPs - get a full walkthrough of the exact system I use to collect thousands of leads through LinkedIn on autopilot.

👉 Get Access Here
https://app.getcreator.io/PublicLeadMagnet?id=6968b72969c207a8adda97aa",https://app.getcreator.io/PublicLeadMagnet?id=6968b72969c207a8adda97aa
The $5 Million Dollar 'Claude Code' Agency Sales Vault,The $5 Million Dollar 'Claude Code' Agency Sales Vault,https://go.modernagencysales.com/claude-sales-vault,$5M+ sales vault using Claude Code agents for effortless high-ticket positioning,Taps into the current AI Agent trend to show how founders can turn one 30-minute strategy call into 30 days of high-authority LinkedIn content that specifically targets enterprise-level agency clients.,"Here’s your copy of my The $5 Million Dollar 'Claude Code' Agency Sales Vault - get a full walkthrough of the exact system I use to collect thousands of leads through LinkedIn on autopilot.

👉 Get Access Here https://app.getcreator.io/PromptLibraryPublicPage?id=6968b19d26f4c73d3ee1184f",https://app.getcreator.io/PromptLibraryPublicPage?id=6968b19d26f4c73d3ee1184f
My Entire 7-Figure Agency Sales System Library,My Entire 7-Figure Agency Sales System Library,https://go.modernagencysales.com/7figure-sales-library,"Everything behind Tim's
7-figure LinkedIn exit now yours","From prompt libraries to full lead magnet methods, this collection delivers Tim's exact playbook. Agency owners escape fragile growth with systems that scale without constant input.","Here’s your copy of my My Entire 7-Figure Agency Sales System Library - get a full walkthrough of the exact system I use to collect thousands of leads through LinkedIn on autopilot.

👉 Get Access Here https://courselaunchr.notion.site/My-entire-7-figure-agency-sales-system-into-one-library-for-you-2edf971fc6778095ac7ed13fb14f77a3",https://courselaunchr.notion.site/My-entire-7-figure-agency-sales-system-into-one-library-for-you-2edf971fc6778095ac7ed13fb14f77a3
The $1M+ Lead Magnet Swipefile: 6 Viral Templates That Built an Agency,The $1M+ Lead Magnet Swipefile: 6 Viral Templates That Built an Agency,https://go.modernagencysales.com/lm-swipefile,Everything behind Tim's $1M+ lead magnet system now yours,Tired of low-engagement content? Grab the battle-tested 6 templates that drove 10k+ comments and millions in pipeline. Simple copy-paste assets deliver real results for busy founders who want predictable leads without daily grind.,"Here’s your copy of my The $1M+ Lead Magnet Swipefile - get a full walkthrough of the exact system I use to collect thousands of leads through LinkedIn on autopilot.

👉 Get Access Here
https://unexpected-pyroraptor-13c.notion.site/The-1M-Lead-Magnet-Swipefile-2767aba7ab66812db1a3cae8cf3d9f6b",https://unexpected-pyroraptor-13c.notion.site/The-1M-Lead-Magnet-Swipefile-2767aba7ab66812db1a3cae8cf3d9f6b
$5M LinkedIn Post Database Swipe File,$5M LinkedIn Post Database Swipe File,https://go.modernagencysales.com/post-swipefile,The LinkedIn post database that generated $5M+ without ads,"Tim's curated Airtable of proven post structures, including urgency-driven offers and direct-response hooks like ""drop your URL for 3 opportunities."" Niche agency founders get leverage to post once, get massive engagement, and own inbound leads instead of chasing referrals.","Here’s your copy of my $5M LinkedIn Post Database Swipe File

 - get a full walkthrough of the exact system I use to collect thousands of leads through LinkedIn on autopilot.

👉 Get Access Here
https://airtable.com/appocNnw4hPnnSfOj/pagCxbYPTw5fXeotL?xnOwz=recfli6zmZP89hUZn",https://airtable.com/appocNnw4hPnnSfOj/pagCxbYPTw5fXeotL?xnOwz=recfli6zmZP89hUZn
30-Day LinkedIn Speed-run System,Tim Keen’s 30-Day LinkedIn Speed-run System,https://go.modernagencysales.com/speedrun-system,Tim's 30-day system that powered his 7-figure exit,"Step-by-step daily actions eliminate scrolling, build authority, spark engagement, and convert comments into calls. Designed for high 6-7 figure owners who need leverage and systems that scale without becoming another full-time job.","Here’s your copy of my 30-day LinkedIn Speed Run - get a full walkthrough of the exact system I use to collect thousands of leads through LinkedIn on autopilot.

👉 Get Access Here https://meadow-leader-47c.notion.site/Tim-Keen-s-30-Day-LinkedIn-Speed-run-System-29581f7dc5278013869fe2596c11487c",https://meadow-leader-47c.notion.site/Tim-Keen-s-30-Day-LinkedIn-Speed-run-System-29581f7dc5278013869fe2596c11487c
